"account_id","gender","genre1","genre2","type","games","age","hours"
101530,"male","role-playing","action","mobile",8,21,7.57385304431874
731892,"female","adventure","action","computer",9,25,4.62023069207015
856432,"male","action","role-playing","mobile",19,35,13.6089883278086
1425820,"male","adventure","adventure","mobile",8,20,8.64871857789771
1881252,"male","action","strategy","computer",6,18,8.92973750283965
2348847,"female","adventure","adventure","computer",6,23,12.0755352346879
2397506,"male","adventure","role-playing","computer",13,32,7.15172257896438
2436396,"male","adventure","sports","mobile",10,25,14.455147040735
4320454,"female","action","action","computer",6,26,9.9669883584898
4882888,"male","strategy","role-playing","computer",12,27,11.3669914912954
5228523,"male","adventure","action","mobile",3,20,12.945265932658
5311717,"female","adventure","role-playing","mobile",6,19,7.18844848358
5524181,"male","adventure","sports","mobile",18,25,9.53821417535899
6207293,"male","role-playing","role-playing","computer",9,23,8.20873678268652
6839673,"male","strategy","action","computer",0,21,0
7213516,"female","adventure","adventure","computer",8,24,8.94454748952878
7320093,"male","adventure","strategy","tablet",5,23,12.1821889001628
7607756,"male","adventure","sports","mobile",2,42,12.35702704106
7792107,"male","role-playing","strategy","mobile",5,23,7.11530879725253
8738463,"female","sports","adventure","mobile",3,25,6.32839890688397
8904000,"male","adventure","sports","tablet",11,24,6.57709306654275
8927645,"female","strategy","role-playing","mobile",14,30,11.7467047067976
10555261,"female","role-playing","adventure","computer",5,25,2.10717352679002
11041675,"male","adventure","role-playing","computer",7,22,5.76589213430281
11173043,"female","adventure","adventure","mobile",16,31,7.83869046807474
11394266,"female","strategy","adventure","computer",6,23,3.73971612627099
11531452,"male","sports","strategy","computer",17,24,15.9244538619356
13708705,"male","sports","strategy","computer",9,19,6.08363599764446
14462632,"male","adventure","action","computer",5,22,6.17828081864254
14908289,"female","role-playing","simulation","computer",5,25,10.5884953339018
15316204,"male","sports","adventure","mobile",16,32,11.4167641948395
15965237,"female","action","adventure","computer",6,30,6.82973648809195
16220220,"female","sports","action","computer",11,32,13.4481830639087
16772788,"male","strategy","simulation","mobile",0,19,0
18261049,"female","adventure","adventure","mobile",13,26,12.3138723040087
19155603,"female","role-playing","adventure","mobile",3,28,8.87666090529875
19156498,"male","action","adventure","computer",9,30,9.00711373535194
19778489,"male","action","role-playing","computer",5,22,7.31592410727054
20242418,"male","adventure","action","tablet",18,27,11.1856158896785
20549467,"male","sports","action","mobile",2,22,8.61870019605084
22637404,"male","role-playing","strategy","computer",10,23,21.3317837705553
22713342,"male","sports","strategy","mobile",7,18,5.44571160642151
23695119,"male","role-playing","role-playing","computer",9,23,12.4705756425495
24342076,"female","adventure","strategy","mobile",7,21,5.2588956900556
24535506,"male","sports","action","computer",7,21,6.34863767605782
26072454,"female","role-playing","sports","computer",13,35,9.14697833647555
26181352,"female","strategy","adventure","computer",3,24,7.24834713407456
26568248,"male","action","adventure","computer",9,22,7.18432168395612
26855100,"female","simulation","sports","computer",11,42,5.0089687521263
26964622,"male","action","action","mobile",3,25,11.0976759770272
27184829,"male","action","sports","computer",3,26,9.2644511490764
27612828,"male","action","sports","tablet",8,20,13.9142710734331
27664236,"male","adventure","role-playing","mobile",22,33,22.162721367184
27765878,"male","sports","action","mobile",0,21,0
27828817,"male","simulation","role-playing","computer",7,22,12.3030363410194
